indice_original,comercio,descripcion_original,descripcion_limpia,categoria_real,categoria_predicha,prob_max,causa_probable,evidencia
56485,Gimnasio SmartFit,Gimnasio SmartFit REF128386,gimnasio smartfit <num>,ocio,alimentacion,0.3639148244062851,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['gimnasio', 'smartfit'] del comercio 'Gimnasio SmartFit' aparece en transacciones de otro comercio de la categoria real 'ocio' (vocabulario de esos otros comercios: 767 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
35096,Gimnasio SmartFit,/// Gimnsaio SmartFit,gimnsaio smartfit,ocio,alimentacion,0.3699629245110301,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['gimnsaio', 'smartfit'] del comercio 'Gimnasio SmartFit' aparece en transacciones de otro comercio de la categoria real 'ocio' (vocabulario de esos otros comercios: 767 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
34584,Discoteca Nocturna,discoteca nocturna,discoteca nocturna,ocio,vivienda,0.5598745136658466,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['discoteca', 'nocturna'] del comercio 'Discoteca Nocturna' aparece en transacciones de otro comercio de la categoria real 'ocio' (vocabulario de esos otros comercios: 794 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
16130,HBO Max Mensual,HBO Max Mennsual LIMA,hbo max mennsual lima,ocio,alimentacion,0.5725378612835624,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['hbo', 'max', 'mennsual'] del comercio 'HBO Max Mensual' aparece en transacciones de otro comercio de la categoria real 'ocio' (vocabulario de esos otros comercios: 800 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
53440,Hotel Reserva,TRF/POS % Hotel Reserva REF661077,hotel reserva <num>,ocio,servicios,0.5898641894060711,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['hotel', 'reserva'] del comercio 'Hotel Reserva' aparece en transacciones de otro comercio de la categoria real 'ocio' (vocabulario de esos otros comercios: 787 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
24365,Restaurante Gourmet,restaurante gourmet,restaurante gourmet,ocio,alimentacion,0.996945430475828,categoria_ambigua,"token 'restaurante' aparece 220 veces en transacciones de 'ocio' (real) y 177 veces en 'alimentacion' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
48881,Disney Plus Suscripcion,TRF/POS disney plus suscripcion,disney plus suscripcion,ocio,educacion,0.9970939305174484,categoria_ambigua,"token 'suscripcion' aparece 883 veces en transacciones de 'ocio' (real) y 444 veces en 'educacion' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
31145,Disney Plus Suscripcion,disney plus suscripcion,disney plus suscripcion,ocio,educacion,0.9970939305174484,categoria_ambigua,"token 'suscripcion' aparece 883 veces en transacciones de 'ocio' (real) y 444 veces en 'educacion' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
33086,Comision Bancaria,Comision Bancaria CALI,comision bancaria cali,otras,alimentacion,0.2919158888932503,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['bancaria', 'comision'] del comercio 'Comision Bancaria' aparece en transacciones de otro comercio de la categoria real 'otras' (vocabulario de esos otros comercios: 609 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
14088,Zapateria Centro,* ZAPATERIA CNETRO,zapateria cnetro,otras,salud,0.3695956841261298,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['cnetro', 'zapateria'] del comercio 'Zapateria Centro' aparece en transacciones de otro comercio de la categoria real 'otras' (vocabulario de esos otros comercios: 603 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
62066,Comision Bancaria,COMISION BANCARIA,comision bancaria,otras,alimentacion,0.4615114012087922,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['bancaria', 'comision'] del comercio 'Comision Bancaria' aparece en transacciones de otro comercio de la categoria real 'otras' (vocabulario de esos otros comercios: 609 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
41896,Peluqueria y Barberia,PELUQUERIA Y BARBERIA,peluqueria y barberia,otras,alimentacion,0.5457721741200149,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['barberia', 'peluqueria'] del comercio 'Peluqueria y Barberia' aparece en transacciones de otro comercio de la categoria real 'otras' (vocabulario de esos otros comercios: 602 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
38308,AliExpress Pedido,aliexpress pedido,aliexpress pedido,otras,alimentacion,0.9854813953924614,categoria_ambigua,"token 'pedido' aparece 246 veces en transacciones de 'otras' (real) y 172 veces en 'alimentacion' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
12804,Retiro Cajero Automatico,TRF/POS Retiro Cajero Automatico,retiro cajero automatico,otras,transporte,0.9890376889611702,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['automatico', 'cajero', 'retiro'] del comercio 'Retiro Cajero Automatico' aparece en transacciones de otro comercio de la categoria real 'otras' (vocabulario de esos otros comercios: 603 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
51702,Tienda de Ropa Zara,Tienda de RopaZ ara,tienda de ropaz ara,otras,alimentacion,0.9929715953459252,categoria_ambigua,"token 'tienda' aparece 281 veces en transacciones de 'otras' (real) y 358 veces en 'alimentacion' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
41725,EPS Cuota Moderadora,EPS CUTOA MODERADORA,eps cutoa moderadora,salud,deudas,0.2685193745548863,categoria_ambigua,"token 'cutoa' aparece 6 veces en transacciones de 'salud' (real) y 7 veces en 'deudas' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
16975,Medicamentos Recetados,ERR: medicamentos recetados LIMA,err medicamentos recetados lima,salud,vivienda,0.3843981803129883,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['medicamentos', 'recetados'] del comercio 'Medicamentos Recetados' aparece en transacciones de otro comercio de la categoria real 'salud' (vocabulario de esos otros comercios: 613 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
62622,Optica Vision Center,OPTICA VISION CENTER REF374978,optica vision center <num>,salud,vivienda,0.4131637702642967,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['center', 'optica', 'vision'] del comercio 'Optica Vision Center' aparece en transacciones de otro comercio de la categoria real 'salud' (vocabulario de esos otros comercios: 612 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
30140,Drogueria Cruz Verde,DDROGUERIA CRUZ VERDE REF391557,ddrogueria cruz verde <num>,salud,otras,0.5526458630175634,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['cruz', 'ddrogueria', 'verde'] del comercio 'Drogueria Cruz Verde' aparece en transacciones de otro comercio de la categoria real 'salud' (vocabulario de esos otros comercios: 608 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
35652,Vacunacion Centro,vacunacion cent,vacunacion cent,salud,otras,0.6654099264551664,keyword_compartido_entre_categorias,token 'cent' aparece 11 veces en 'salud' (real) y 4 veces en 'otras' (predicha) -- senal debil pero es la mejor evidencia disponible entre los tokens de esta fila.
29862,EPS Cuota Moderadora,TRF/POS eps cuota moderadora,eps cuota moderadora,salud,deudas,0.9606797928117896,categoria_ambigua,"token 'cuota' aparece 2538 veces en transacciones de 'salud' (real) y 1544 veces en 'deudas' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
45282,EPS Cuota Moderadora,EPS CUOTA MODERADORA,eps cuota moderadora,salud,deudas,0.9606797928117896,categoria_ambigua,"token 'cuota' aparece 2538 veces en transacciones de 'salud' (real) y 1544 veces en 'deudas' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
29127,Pago Luz Enel,ERR: Pago Luz Enel,err luz enel,servicios,transporte,0.3291768208929344,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['enel', 'luz'] del comercio 'Pago Luz Enel' aparece en transacciones de otro comercio de la categoria real 'servicios' (vocabulario de esos otros comercios: 628 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
338,Recoleccion Basuras,recoleccion basuras REF939930,recoleccion basuras <num>,servicios,educacion,0.3346622764127731,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['basuras', 'recoleccion'] del comercio 'Recoleccion Basuras' aparece en transacciones de otro comercio de la categoria real 'servicios' (vocabulario de esos otros comercios: 622 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
11304,Recoleccion Basuras,RECOLECCION BASURAS,recoleccion basuras,servicios,educacion,0.4531293508789561,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['basuras', 'recoleccion'] del comercio 'Recoleccion Basuras' aparece en transacciones de otro comercio de la categoria real 'servicios' (vocabulario de esos otros comercios: 622 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
47047,Almacenamiento iCloud,ERR: almacenamiento icloud,err almacenamiento icloud,servicios,alimentacion,0.5423814590421796,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['almacenamiento', 'icloud'] del comercio 'Almacenamiento iCloud' aparece en transacciones de otro comercio de la categoria real 'servicios' (vocabulario de esos otros comercios: 628 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
66445,Microsoft 365 Suscripcion,MICROSOFT 365 SUSRIPCION BUENOS AIRES REF257595,microsoft 365 susripcion buenos aires <num>,servicios,educacion,0.7190530707658703,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['365', 'microsoft', 'susripcion'] del comercio 'Microsoft 365 Suscripcion' aparece en transacciones de otro comercio de la categoria real 'servicios' (vocabulario de esos otros comercios: 619 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
25986,Gas Natural Domiciliario,gas natual domiciliario,gas natual domiciliario,servicios,alimentacion,0.991699164622197,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['domiciliario', 'gas', 'natual'] del comercio 'Gas Natural Domiciliario' aparece en transacciones de otro comercio de la categoria real 'servicios' (vocabulario de esos otros comercios: 591 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
403,Estacion Terpel,esatcion terpel,esatcion terpel,transporte,ocio,0.295819169264217,comercio_desconocido_en_vocabulario,"solo 1/2 tokens del comercio 'Estacion Terpel' se solapan con otros comercios de 'transporte' (['esatcion']) -- solapamiento parcial, vocabulario compartido escaso."
22996,Copec Bencina,TRF/POS ERR: Copec Bencina,err copec bencina,transporte,otras,0.368054122706194,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['bencina', 'copec'] del comercio 'Copec Bencina' aparece en transacciones de otro comercio de la categoria real 'transporte' (vocabulario de esos otros comercios: 604 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
9570,Taxi Amarillo,TAXI AMARILLO,taxi amarillo,transporte,alimentacion,0.5674117527880678,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['amarillo', 'taxi'] del comercio 'Taxi Amarillo' aparece en transacciones de otro comercio de la categoria real 'transporte' (vocabulario de esos otros comercios: 604 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
14971,Taxi Amarillo,TAXI AMARILLO,taxi amarillo,transporte,alimentacion,0.5674117527880678,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['amarillo', 'taxi'] del comercio 'Taxi Amarillo' aparece en transacciones de otro comercio de la categoria real 'transporte' (vocabulario de esos otros comercios: 604 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
59117,Shell Combustible,Shell Combustible,shell combustible,transporte,alimentacion,0.6234867815017474,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['combustible', 'shell'] del comercio 'Shell Combustible' aparece en transacciones de otro comercio de la categoria real 'transporte' (vocabulario de esos otros comercios: 607 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
7518,Transmilenio Recarga,Transmilenio Recar,transmilenio recar,transporte,servicios,0.7880971133759366,categoria_ambigua,"token 'recar' aparece 6 veces en transacciones de 'transporte' (real) y 4 veces en 'servicios' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
40015,Easy Construccion,EASY CONSTRUCCION CDMX,easy construccion cdmx,vivienda,otras,0.282305716892799,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['construccion', 'easy'] del comercio 'Easy Construccion' aparece en transacciones de otro comercio de la categoria real 'vivienda' (vocabulario de esos otros comercios: 655 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
28395,Renta Mensual Casa,Renta Mensual Casa,renta mensual casa,vivienda,salud,0.2903892800988962,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['casa', 'mensual', 'renta'] del comercio 'Renta Mensual Casa' aparece en transacciones de otro comercio de la categoria real 'vivienda' (vocabulario de esos otros comercios: 645 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
30146,Cuota Hipoteca Vivienda,Cuota Hipoteca Vivienda,cuota hipoteca vivienda,vivienda,deudas,0.5031135460504473,categoria_ambigua,"token 'cuota' aparece 1542 veces en transacciones de 'vivienda' (real) y 1544 veces en 'deudas' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
57961,Cuota Hipoteca Vivienda,/// CUOTA HIPOTECA VIVIENDA,cuota hipoteca vivienda,vivienda,deudas,0.5031135460504473,categoria_ambigua,"token 'cuota' aparece 1542 veces en transacciones de 'vivienda' (real) y 1544 veces en 'deudas' (predicha) -- presencia comparable en ambas, el termino describe un concepto compartido por los dos dominios."
152,Ferreteria El Martillo,TRF/POS --- Ferreteria El Martillo,ferreteria el martillo,vivienda,alimentacion,0.7415698527826969,comercio_desconocido_en_vocabulario,"ninguno de los tokens ['ferreteria', 'martillo'] del comercio 'Ferreteria El Martillo' aparece en transacciones de otro comercio de la categoria real 'vivienda' (vocabulario de esos otros comercios: 654 tokens distintos) -- el modelo no tuvo con que generalizar para esta clase desde comercios vistos."
52439,Ferreteria El Martillo,FERRETERIA EEL MARTILLO,ferreteria eel martillo,vivienda,otras,0.7733159500838509,comercio_desconocido_en_vocabulario,"solo 1/3 tokens del comercio 'Ferreteria El Martillo' se solapan con otros comercios de 'vivienda' (['eel']) -- solapamiento parcial, vocabulario compartido escaso."
